DTYYYYMMDD,Open,High,Low,Close,Vol
20150915,1.23945,1.24059,1.2387,1.23906,4585.0
20150916,1.23906,1.24004,1.23817,1.23946,5341.0
20150917,1.23947,1.24033,1.23599,1.23918,14267.0
20150918,1.23917,1.24185,1.23617,1.2374,14809.0
20150919,1.2374,1.23828,1.23443,1.23545,15923.0
20150920,1.23545,1.23718,1.23435,1.23669,12917.0
20150921,1.2367,1.23811,1.23608,1.23738,6955.0
20150922,1.23738,1.24047,1.23731,1.24027,5929.0
20150923,1.24027,1.24074,1.23974,1.24072,2676.0
20150924,1.24071,1.24137,1.24043,1.24133,3680.0
20150925,1.24133,1.24146,1.24099,1.24122,902.0
20150926,1.24065,1.24094,1.23622,1.24016,474.0
20150927,1.24016,1.24174,1.24011,1.24128,1164.0
20150928,1.24127,1.24173,1.24088,1.24166,3811.0
20150929,1.24166,1.24174,1.23979,1.2403,3693.0
20150930,1.24032,1.24032,1.23935,1.23938,2770.0
20151001,1.23939,1.23959,1.23862,1.23866,2811.0
20151002,1.23865,1.23867,1.23782,1.23784,2801.0
20151003,1.23784,1.23817,1.2376,1.23806,2571.0
20151004,1.23807,1.23817,1.23621,1.23687,4217.0
20151005,1.23686,1.23801,1.23624,1.23747,5353.0
20151006,1.23749,1.23814,1.23583,1.23805,7235.0
20151007,1.23805,1.23887,1.23637,1.23697,6759.0
20151008,1.23697,1.2383,1.23649,1.23732,4960.0
20151009,1.23731,1.23839,1.23593,1.2369,4924.0
20151010,1.23691,1.23722,1.23614,1.23644,4965.0
20151011,1.23645,1.23905,1.23548,1.23675,9747.0
20151012,1.23676,1.23966,1.23468,1.23819,12905.0
20151013,1.23821,1.23964,1.23445,1.23571,15234.0
20151014,1.2357,1.23904,1.2356,1.2376,10392.0
20151015,1.23759,1.23973,1.23736,1.23909,6043.0
20151016,1.2391,1.23912,1.23804,1.23883,5506.0
20151017,1.23882,1.23966,1.23855,1.2392,4358.0
20151018,1.23922,1.23969,1.23859,1.23897,3597.0
20151019,1.23909,1.23989,1.23906,1.2398,1067.0
20151020,1.23879,1.23889,1.23646,1.23881,178.0
