Datetime,Open,High,Low,Close,Vol,spread,real_volume,Ask,Bid,Current_Spread,EMA_50,EMA_200,RSI,MACD,MACD_Signal,ATR,Candle_Body,Upper_Shadow,Lower_Shadow,Tenkan_Sen,Kijun_Sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span_Rel
2026-01-12 05:05:00,1.3424800000000001,1.34277,1.3424800000000001,1.34267,222,9,0,1.36814,1.36805,8.999999999992347e-05,1.3421295202177823,1.3415350269772348,49.50495049504987,0.00010281463695616111,0.00021797868547893554,0.0003549999999999783,0.00018999999999991246,9.999999999998899e-05,0.0,1.342605,1.343075,1.3417675,1.341275,-0.0007600000000000939
2026-01-12 05:10:00,1.34267,1.34272,1.3426,1.3427,140,9,0,1.36814,1.36805,8.999999999992347e-05,1.3421518919739477,1.3415466187486058,42.045454545456366,9.5841789933937e-05,0.00019355130636993583,0.00032285714285710095,2.999999999997449e-05,1.999999999990898e-05,7.00000000000145e-05,1.342605,1.343075,1.3418375,1.341345,-0.00048000000000003595
2026-01-12 05:15:00,1.3427,1.34272,1.34249,1.3426,184,9,0,1.36814,1.36805,8.999999999992347e-05,1.3421694648377145,1.3415571001540925,43.5294117647066,8.130931104255446e-05,0.00017110290730445955,0.00030857142857138823,9.999999999998899e-05,1.999999999990898e-05,0.0001100000000000545,1.342605,1.343075,1.34184,1.341345,-0.0007600000000000939
2026-01-12 05:20:00,1.3426,1.34272,1.34254,1.34266,138,9,0,1.36814,1.36805,8.999999999992347e-05,1.3421887015107452,1.3415680742819125,44.82758620689626,7.378318870832068e-05,0.0001516389635852318,0.0002992857142856607,5.999999999994898e-05,5.999999999994898e-05,5.999999999994898e-05,1.342605,1.343075,1.3419325,1.34138,-0.0008500000000000174
2026-01-12 05:25:00,1.34266,1.34271,1.3425,1.34253,163,9,0,1.36814,1.36805,8.999999999992347e-05,1.3422020857652257,1.3415776456820925,47.75510204081507,5.667544968623872e-05,0.00013264626080543318,0.0002885714285713841,0.00012999999999996348,5.0000000000105516e-05,2.999999999997449e-05,1.3426,1.343075,1.3422450000000001,1.34144,-0.0009200000000000319
2026-01-12 05:30:00,1.34252,1.34263,1.3424800000000001,1.3426,156,9,0,1.36814,1.36805,8.999999999992347e-05,1.342217690245021,1.3415878183618728,47.540983606559465,4.821012196587482e-05,0.00011575903303752152,0.00028285714285709266,8.000000000008001e-05,2.999999999997449e-05,3.999999999981796e-05,1.342485,1.34301,1.3424475,1.34155,-0.0012799999999999478
2026-01-12 05:35:00,1.3426,1.3426,1.34236,1.34252,120,9,0,1.36814,1.36805,8.999999999992347e-05,1.34222954552953,1.3415970938010582,50.43478260869364,3.464657321705644e-05,9.953654107342851e-05,0.00027714285714280126,8.000000000008001e-05,0.0,0.00015999999999993797,1.342435,1.34284,1.342505,1.34155,-0.001060000000000061
2026-01-12 05:40:00,1.3425,1.34252,1.34209,1.3422100000000001,210,9,0,1.36814,1.36805,8.999999999992347e-05,1.3422287790381762,1.3416031923702019,37.50000000000478,-1.1043162386759064e-06,7.940836961100764e-05,0.00027214285714278433,0.00028999999999990145,1.999999999990898e-05,0.00012000000000012001,1.34243,1.342715,1.3425175,1.34155,-0.0007899999999998464
2026-01-12 05:45:00,1.3422100000000001,1.34238,1.3421699999999999,1.3423,129,9,0,1.36814,1.36805,8.999999999992347e-05,1.3422315720170712,1.3416101257794535,36.68122270742303,-2.1922200384771884e-05,5.914225561185174e-05,0.0002671428571427833,8.999999999992347e-05,7.999999999985796e-05,4.000000000026205e-05,1.34243,1.342715,1.342495,1.34155,-0.0006999999999999229
2026-01-12 05:50:00,1.34231,1.34239,1.34218,1.34231,169,9,0,1.36814,1.36805,8.999999999992347e-05,1.342234647624245,1.341617089702046,31.603773584897553,-3.718496203330979e-05,3.9876812082819436e-05,0.0002657142857142184,0.0,8.000000000008001e-05,0.00012999999999996348,1.3424049999999998,1.342715,1.3424725,1.34155,-0.00045000000000006146
2026-01-12 05:55:00,1.34231,1.34238,1.34199,1.34201,180,9,0,1.36814,1.36805,8.999999999992347e-05,1.3422258379134904,1.3416209992572496,31.162790697666736,-7.265082985452587e-05,1.7371283695350374e-05,0.00027357142857136515,0.00029999999999996696,7.00000000000145e-05,1.999999999990898e-05,1.342355,1.342665,1.3424550000000002,1.34155,-0.0008100000000001994
2026-01-12 06:00:00,1.34201,1.34213,1.3418,1.34206,231,9,0,1.36814,1.36805,8.999999999992347e-05,1.3422193344659026,1.3416253674238443,35.46798029556639,-9.56209447589007e-05,-5.227161995499842e-06,0.0002778571428570758,5.0000000000105516e-05,7.00000000000145e-05,0.00020999999999982144,1.34226,1.34257,1.342445,1.34155,-0.0006599999999998829
2026-01-12 06:05:00,1.34205,1.34216,1.34202,1.34212,111,9,0,1.36814,1.36805,8.999999999992347e-05,1.3422154389966514,1.3416302891410201,45.88235294117463,-0.00010774145136749347,-2.573001986989857e-05,0.0002485714285713758,7.00000000000145e-05,4.0000000000040004e-05,2.999999999997449e-05,1.3422550000000002,1.34257,1.342445,1.34155,-0.0005800000000000249
2026-01-12 06:10:00,1.34212,1.3422399999999999,1.3421,1.34222,131,9,0,1.36814,1.36805,8.999999999992347e-05,1.342215617859528,1.3416361569107613,41.772151898726705,-0.00010803254399416318,-4.2190524694751495e-05,0.00023357142857137272,9.999999999998899e-05,1.999999999990898e-05,1.999999999990898e-05,1.342215,1.34257,1.3424325000000001,1.34155,-0.0008999999999999009
2026-01-12 06:15:00,1.34222,1.34226,1.34211,1.34223,103,9,0,1.36814,1.36805,8.999999999992347e-05,1.3422161818650367,1.3416420657972215,34.2857142857102,-0.0001062317471176577,-5.499876917933274e-05,0.00022357142857138651,1.0000000000065512e-05,2.999999999997449e-05,0.0001100000000000545,1.3422,1.3424550000000002,1.3424,1.34155,-0.0006999999999999229
2026-01-12 06:20:00,1.34223,1.34235,1.34199,1.34201,116,9,0,1.36814,1.36805,8.999999999992347e-05,1.342208096301702,1.3416457268340651,28.301886792447036,-0.00012116010572293945,-6.823103648805409e-05,0.00024071428571424493,0.000220000000000109,0.00011999999999989797,1.999999999990898e-05,1.34216,1.3424550000000002,1.3423575,1.34155,-0.0009200000000000319
2026-01-12 06:25:00,1.34201,1.34207,1.3418700000000001,1.34199,116,9,0,1.36814,1.36805,8.999999999992347e-05,1.342199543505557,1.3416491524377063,29.801324503306972,-0.00013307081282687427,-8.119899175581814e-05,0.00023857142857138962,1.999999999990898e-05,6.000000000017103e-05,0.00011999999999989797,1.342095,1.3424550000000002,1.3425699999999998,1.34155,-0.0006500000000000394
2026-01-12 06:30:00,1.34198,1.34199,1.3417,1.34176,181,9,0,1.36814,1.36805,8.999999999992347e-05,1.342182306505339,1.3416502553985252,23.214285714283605,-0.00015923366525516514,-9.680592645568755e-05,0.00024642857142855224,0.00021999999999988695,1.0000000000065512e-05,6.000000000017103e-05,1.342045,1.3424049999999998,1.3427474999999998,1.34155,-0.0009599999999998499
2026-01-12 06:35:00,1.34177,1.34177,1.34159,1.3416299999999999,159,9,0,1.36814,1.36805,8.999999999992347e-05,1.3421606474266985,1.3416500538522713,23.21428571428052,-0.00018828736826592696,-0.00011510221481773544,0.000244285714285681,0.000140000000000029,0.0,3.999999999981796e-05,1.341985,1.3423500000000002,1.3427274999999999,1.34155,-0.0008700000000001484
2026-01-12 06:40:00,1.3416299999999999,1.34179,1.3416299999999999,1.34173,79,9,0,1.36814,1.36805,8.999999999992347e-05,1.3421437592923182,1.3416508493363284,24.561403508775584,-0.00020092730802345748,-0.00013226723345887985,0.0002449999999999873,0.00010000000000021103,5.999999999994898e-05,0.0,1.3419699999999999,1.3423500000000002,1.3426825,1.34155,-0.0010599999999998388
